id	created_at	source	original_text	clean_text	sentiment	polarity	subjectivity	favorite_count	retweet_count	original_author	possibly_sensitive	hashtags	user_mentions	place	place_coord_boundaries
id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.1855717754653082e+18,Sat Oct 19 15:01:52 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",RT @francis_brio: Thanks #princed1 #ForTheCulture #francisbrio #viralvideo #toptags #unilagolodo #yabaleftonline… https://t.co/XvQf2L6qr0,RT francis_brio Thanks princed1 ForTheCulture francisbrio viralvideo toptags unilagolodo yabaleftonline… https //t.co/XvQf2L6qr0,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0.0,0.0,theprocessor_,False,"princed1, ForTheCulture, francisbrio, viralvideo, toptags, unilagolodo, yabaleftonline",francis_brio,In your heart,
1.1855688687915336e+18,Sat Oct 19 14:50:19 +0000 2019,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Thanks #princed1 #ForTheCulture #francisbrio #viralvideo #toptags #unilagolodo #yabaleftonline #gossipmillnaija… https://t.co/ztgy3yMAAz,Thanks princed1 ForTheCulture francisbrio viralvideo toptags unilagolodo yabaleftonline gossipmillnaija… https //t.co/ztgy3yMAAz,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0.0,0.0,francis_brio,False,"princed1, ForTheCulture, francisbrio, viralvideo, toptags, unilagolodo, yabaleftonline, gossipmillnaija",,LAGOS / NIGERIA,
1.1855474541435208e+18,Sat Oct 19 13:25:14 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,KabirAlhaji,,NigeriaDecides2019,"ogundamisi, osita_chidoka","Katsina, Nigeria",
1.1855432520757985e+18,Sat Oct 19 13:08:32 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,osychigbu,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Lagos-Nigeria,
1.185533735086809e+18,Sat Oct 19 12:30:43 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,bankmj,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Ibadan,
1.1855316889375416e+18,Sat Oct 19 12:22:35 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,OluOgundele,,NigeriaDecides2019,"ogundamisi, osita_chidoka","Lagos,Nigeria.",
1.1855274481354383e+18,Sat Oct 19 12:05:44 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,Presh02,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Global Citizen,
1.1855216081836892e+18,Sat Oct 19 11:42:31 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,maitala_S,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Nigeria,
1.185512554241626e+18,Sat Oct 19 11:06:33 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,Kejoskey,,NigeriaDecides2019,"ogundamisi, osita_chidoka",♣AboveTheIgnorance♣,
1.1855024600870339e+18,Sat Oct 19 10:26:26 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ogundamisi: Election is over, the real @osita_chidoka is back. All those ""We are all one Nigeria"" gone with #NigeriaDecides2019 

Let u…",RT ogundamisi Election real osita_chidoka back All `` We one Nigeria '' gone NigeriaDecides2019 Let u…,"Sentiment(polarity=0.1, subjectivity=0.15000000000000002)",0.1,0.15000000000000002,en,0.0,97.0,kunle_tee001,,NigeriaDecides2019,"ogundamisi, osita_chidoka",Here!,
